datatime,package,pid,pss,java_heap,native_heap,system
2024-06-06 18-28-20,com.yangcong345.android.phone,6942,148.39,23.45,16.68,33.85
2024-06-06 18-28-34,com.yangcong345.android.phone,6942,250.3,32.79,37.54,38.06
2024-06-06 18-28-39,com.yangcong345.android.phone,6942,276.74,46.68,41.63,38.47
2024-06-06 18-28-44,com.yangcong345.android.phone,6942,276.93,33.66,53.29,38.62
2024-06-06 18-28-49,com.yangcong345.android.phone,6942,285.04,32.87,59.58,38.67
2024-06-06 18-28-54,com.yangcong345.android.phone,6942,275.0,32.48,50.75,38.9
2024-06-06 18-28-59,com.yangcong345.android.phone,6942,266.03,31.84,41.41,38.92
2024-06-06 18-29-04,com.yangcong345.android.phone,6942,264.58,32.19,42.0,38.99
2024-06-06 18-29-09,com.yangcong345.android.phone,6942,274.9,32.78,50.75,39.03
2024-06-06 18-29-14,com.yangcong345.android.phone,6942,275.6,32.56,50.61,39.6
2024-06-06 18-29-19,com.yangcong345.android.phone,6942,276.99,33.0,51.38,39.25
2024-06-06 18-29-24,com.yangcong345.android.phone,6942,283.7,32.4,60.02,39.26
2024-06-06 18-29-29,com.yangcong345.android.phone,6942,282.68,32.53,58.83,39.26
2024-06-06 18-29-34,com.yangcong345.android.phone,6942,283.42,33.21,58.91,39.25
2024-06-06 18-29-39,com.yangcong345.android.phone,6942,284.0,33.26,58.96,39.67
2024-06-06 18-29-44,com.yangcong345.android.phone,6942,283.49,33.38,58.95,39.26
2024-06-06 18-29-49,com.yangcong345.android.phone,6942,274.19,32.73,49.88,39.68
2024-06-06 18-29-54,com.yangcong345.android.phone,6942,275.43,34.13,50.36,39.26
2024-06-06 18-29-59,com.yangcong345.android.phone,6942,273.91,32.79,50.18,39.26
2024-06-06 18-30-04,com.yangcong345.android.phone,6942,274.82,33.22,50.29,39.68
2024-06-06 18-30-09,com.yangcong345.android.phone,6942,283.76,33.88,58.63,39.69
2024-06-06 18-30-14,com.yangcong345.android.phone,6942,279.5,34.55,58.98,39.3
2024-06-06 18-30-19,com.yangcong345.android.phone,6942,278.31,33.88,59.07,39.73
2024-06-06 18-30-24,com.yangcong345.android.phone,6942,265.99,32.96,49.61,39.73
2024-06-06 18-30-29,com.yangcong345.android.phone,6942,267.31,34.33,50.0,39.31
2024-06-06 18-30-34,com.yangcong345.android.phone,6942,266.33,33.06,49.84,39.73
2024-06-06 18-30-39,com.yangcong345.android.phone,6942,256.99,32.83,40.83,39.73
2024-06-06 18-30-44,com.yangcong345.android.phone,6942,260.09,33.84,50.12,39.73
2024-06-06 18-30-49,com.yangcong345.android.phone,6942,268.74,33.9,58.7,39.74
2024-06-06 18-30-54,com.yangcong345.android.phone,6942,258.66,32.97,49.55,39.74
2024-06-06 18-30-59,com.yangcong345.android.phone,6942,249.66,32.82,40.7,39.74
2024-06-06 18-31-04,com.yangcong345.android.phone,6942,249.7,32.84,40.72,39.74
2024-06-06 18-31-09,com.yangcong345.android.phone,6942,256.67,33.07,41.76,39.73
2024-06-06 18-31-14,com.yangcong345.android.phone,6942,267.07,34.9,50.76,39.32
2024-06-06 18-31-19,com.yangcong345.android.phone,6942,274.0,34.37,52.29,40.06
2024-06-06 18-31-24,com.yangcong345.android.phone,6942,271.92,34.37,52.11,40.06
2024-06-06 18-31-29,com.yangcong345.android.phone,6942,278.78,34.78,60.12,40.07
2024-06-06 18-31-34,com.yangcong345.android.phone,6942,277.05,33.87,59.74,39.65
2024-06-06 18-31-39,com.yangcong345.android.phone,6942,277.94,34.02,60.04,40.07
2024-06-06 18-31-44,com.yangcong345.android.phone,6942,283.16,35.05,60.86,40.16
2024-06-06 18-31-49,com.yangcong345.android.phone,6942,279.33,34.08,60.71,40.16
2024-06-06 18-31-54,com.yangcong345.android.phone,6942,278.42,33.92,60.42,39.74
2024-06-06 18-31-59,com.yangcong345.android.phone,6942,313.98,35.63,69.71,40.16
2024-06-06 18-32-04,com.yangcong345.android.phone,6942,315.0,34.95,70.25,40.25
2024-06-06 18-32-09,com.yangcong345.android.phone,6942,294.04,33.89,60.35,40.32
2024-06-06 18-32-14,com.yangcong345.android.phone,6942,300.09,38.87,61.2,40.38
2024-06-06 18-32-19,com.yangcong345.android.phone,6942,304.99,35.91,69.47,40.03
2024-06-06 18-32-24,com.yangcong345.android.phone,6942,295.64,34.39,60.54,40.43
2024-06-06 18-32-29,com.yangcong345.android.phone,6942,295.79,34.66,60.8,40.13
2024-06-06 18-32-34,com.yangcong345.android.phone,6942,296.06,34.8,60.4,40.63
2024-06-06 18-32-39,com.yangcong345.android.phone,6942,286.01,33.95,51.6,40.69
2024-06-06 18-32-44,com.yangcong345.android.phone,6942,286.51,33.91,51.56,40.75
2024-06-06 18-32-49,com.yangcong345.android.phone,6942,296.08,34.83,60.81,40.48
2024-06-06 18-32-54,com.yangcong345.android.phone,6942,295.28,34.89,69.33,40.96
2024-06-06 18-32-59,com.yangcong345.android.phone,6942,294.67,34.68,69.31,40.61
2024-06-06 18-33-04,com.yangcong345.android.phone,6942,294.67,34.77,69.24,40.67
2024-06-06 18-33-09,com.yangcong345.android.phone,6942,294.89,34.83,69.25,40.74
2024-06-06 18-33-14,com.yangcong345.android.phone,6942,296.05,35.85,69.06,41.21
2024-06-06 18-33-19,com.yangcong345.android.phone,6942,295.48,34.94,69.26,40.86
2024-06-06 18-33-24,com.yangcong345.android.phone,6942,296.07,35.02,69.36,40.92
2024-06-06 18-33-29,com.yangcong345.android.phone,6942,285.7,34.04,60.23,40.99
2024-06-06 18-33-34,com.yangcong345.android.phone,6942,267.89,34.08,51.37,41.05
2024-06-06 18-33-39,com.yangcong345.android.phone,6942,278.71,34.98,60.93,41.12
2024-06-06 18-33-44,com.yangcong345.android.phone,6942,278.54,34.4,60.83,41.61
2024-06-06 18-33-49,com.yangcong345.android.phone,6942,280.6,35.31,61.88,41.69
2024-06-06 18-33-54,com.yangcong345.android.phone,6942,288.73,36.0,69.72,41.34
2024-06-06 18-33-59,com.yangcong345.android.phone,6942,279.02,34.31,61.21,41.82
2024-06-06 18-34-04,com.yangcong345.android.phone,6942,279.62,34.84,61.24,41.85
2024-06-06 18-34-09,com.yangcong345.android.phone,6942,289.2,35.26,70.19,41.46
2024-06-06 18-34-14,com.yangcong345.android.phone,6942,288.8,36.24,70.03,41.46
2024-06-06 18-34-19,com.yangcong345.android.phone,6942,288.12,36.02,69.5,41.47
2024-06-06 18-34-24,com.yangcong345.android.phone,6942,288.31,36.95,68.76,41.47
2024-06-06 18-34-29,com.yangcong345.android.phone,6942,290.37,35.05,70.12,41.89
2024-06-06 18-34-34,com.yangcong345.android.phone,6942,289.23,34.51,69.99,41.47
2024-06-06 18-34-39,com.yangcong345.android.phone,6942,291.57,35.46,70.22,41.49
2024-06-06 18-34-44,com.yangcong345.android.phone,6942,290.15,34.68,70.2,41.91
2024-06-06 18-34-49,com.yangcong345.android.phone,6942,290.18,35.63,69.76,41.49
2024-06-06 18-34-54,com.yangcong345.android.phone,6942,279.99,33.82,60.95,41.91
2024-06-06 18-34-59,com.yangcong345.android.phone,6942,270.88,33.48,52.16,41.91
2024-06-06 18-35-04,com.yangcong345.android.phone,6942,270.9,33.55,52.13,41.91
2024-06-06 18-35-09,com.yangcong345.android.phone,6942,280.46,34.36,61.36,41.49
2024-06-06 18-35-14,com.yangcong345.android.phone,6942,289.53,34.75,70.01,41.49
2024-06-06 18-35-19,com.yangcong345.android.phone,6942,295.19,36.55,70.12,41.51
2024-06-06 18-35-24,com.yangcong345.android.phone,6942,283.96,34.51,61.68,41.95
2024-06-06 18-35-29,com.yangcong345.android.phone,6942,280.22,34.52,59.04,41.87
2024-06-06 18-35-34,com.yangcong345.android.phone,6942,284.51,34.59,61.66,42.17
2024-06-06 18-35-39,com.yangcong345.android.phone,6942,282.75,33.95,61.59,42.17
2024-06-06 18-35-44,com.yangcong345.android.phone,6942,273.34,33.68,52.46,42.17
2024-06-06 18-35-49,com.yangcong345.android.phone,6942,283.69,35.09,61.42,42.22
2024-06-06 18-35-54,com.yangcong345.android.phone,6942,293.06,35.28,70.57,42.28
2024-06-06 18-35-59,com.yangcong345.android.phone,6942,294.57,35.14,70.55,41.86
2024-06-06 18-36-04,com.yangcong345.android.phone,6942,284.38,33.89,61.24,42.27
2024-06-06 18-36-09,com.yangcong345.android.phone,6942,287.23,36.87,61.55,41.85
2024-06-06 18-36-14,com.yangcong345.android.phone,6942,294.11,35.01,70.29,41.85
2024-06-06 18-36-19,com.yangcong345.android.phone,6942,295.03,35.29,70.33,42.28
2024-06-06 18-36-24,com.yangcong345.android.phone,6942,284.7,33.97,61.31,42.28
2024-06-06 18-36-29,com.yangcong345.android.phone,6942,286.31,35.26,61.98,41.87
2024-06-06 18-36-34,com.yangcong345.android.phone,6942,294.6,35.41,70.23,41.87
2024-06-06 18-36-39,com.yangcong345.android.phone,6942,296.69,35.31,70.67,41.88
2024-06-06 18-36-44,com.yangcong345.android.phone,6942,296.15,35.2,70.43,42.32
2024-06-06 18-36-49,com.yangcong345.android.phone,6942,295.0,35.04,70.52,42.32
2024-06-06 18-36-54,com.yangcong345.android.phone,6942,294.06,34.64,70.41,41.9
2024-06-06 18-36-59,com.yangcong345.android.phone,6942,284.37,33.86,61.5,41.91
2024-06-06 18-37-04,com.yangcong345.android.phone,6942,279.13,34.31,53.42,41.94
2024-06-06 18-37-09,com.yangcong345.android.phone,6942,288.19,34.82,62.16,42.36
2024-06-06 18-37-14,com.yangcong345.android.phone,6942,297.46,35.65,71.11,41.95
2024-06-06 18-37-19,com.yangcong345.android.phone,6942,285.84,34.01,61.79,41.95
2024-06-06 18-37-24,com.yangcong345.android.phone,6942,292.01,35.36,62.87,41.98
2024-06-06 18-37-29,com.yangcong345.android.phone,6942,288.16,33.92,62.73,42.4
2024-06-06 18-37-34,com.yangcong345.android.phone,6942,325.55,41.11,77.9,42.18
2024-06-06 18-37-39,com.yangcong345.android.phone,6942,314.8,38.62,67.05,42.22
2024-06-06 18-37-44,com.yangcong345.android.phone,6942,323.91,40.75,71.52,42.51
2024-06-06 18-37-49,com.yangcong345.android.phone,6942,357.95,41.55,82.08,42.55
2024-06-06 18-37-54,com.yangcong345.android.phone,6942,315.25,38.63,69.34,42.55
2024-06-06 18-37-59,com.yangcong345.android.phone,6942,315.42,35.16,69.82,42.53
2024-06-06 18-38-04,com.yangcong345.android.phone,6942,309.26,34.73,61.1,42.53
2024-06-06 18-38-09,com.yangcong345.android.phone,6942,319.61,35.95,70.22,42.53
2024-06-06 18-38-14,com.yangcong345.android.phone,6942,328.9,36.66,78.87,42.33
2024-06-06 18-38-19,com.yangcong345.android.phone,6942,318.31,35.56,70.43,42.55
2024-06-06 18-38-24,com.yangcong345.android.phone,6942,320.27,37.11,70.11,42.34
2024-06-06 18-38-29,com.yangcong345.android.phone,6942,329.2,36.31,78.94,42.57
2024-06-06 18-38-34,com.yangcong345.android.phone,6942,328.44,35.95,79.03,42.57
2024-06-06 18-38-39,com.yangcong345.android.phone,6942,328.42,36.13,79.17,42.36
2024-06-06 18-38-44,com.yangcong345.android.phone,6942,318.26,35.01,70.2,42.6
2024-06-06 18-38-49,com.yangcong345.android.phone,6942,321.39,37.42,70.77,42.4
2024-06-06 18-38-54,com.yangcong345.android.phone,6942,326.62,36.65,79.22,42.44
2024-06-06 18-38-59,com.yangcong345.android.phone,6942,326.86,37.61,79.07,42.45
2024-06-06 18-39-04,com.yangcong345.android.phone,6942,320.73,37.19,73.35,42.47
2024-06-06 18-39-09,com.yangcong345.android.phone,6942,302.77,34.57,61.38,42.47
2024-06-06 18-39-14,com.yangcong345.android.phone,6942,314.47,36.1,70.33,42.69
2024-06-06 18-39-19,com.yangcong345.android.phone,6942,312.63,34.83,70.23,42.69
2024-06-06 18-39-24,com.yangcong345.android.phone,6942,303.0,34.79,61.15,42.68
2024-06-06 18-39-29,com.yangcong345.android.phone,6942,303.24,34.52,61.17,42.69
2024-06-06 18-39-34,com.yangcong345.android.phone,6942,303.17,34.49,61.12,42.69
2024-06-06 18-39-39,com.yangcong345.android.phone,6942,303.75,34.66,61.44,42.69
