datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-06-05 15-13-00,0.0,0.0,0.0,com.yangcong345.android.phone,18581,0.0,0.0,0.0
2024-06-05 15-13-05,158.77,112.29,46.48,com.yangcong345.android.phone,18581,112.29,46.48,158.77
2024-06-05 15-13-10,168.96,119.67,49.29,com.yangcong345.android.phone,18581,119.67,49.29,168.96
2024-06-05 15-13-15,212.0,152.1,59.91,com.yangcong345.android.phone,18581,152.1,59.96,212.06
2024-06-05 15-13-20,213.02,152.27,60.74,com.yangcong345.android.phone,18581,152.27,60.74,213.02
2024-06-05 15-13-25,298.42,212.36,86.06,com.yangcong345.android.phone,18581,212.36,86.06,298.42
2024-06-05 15-13-30,341.14,242.52,98.62,com.yangcong345.android.phone,18581,242.58,98.66,341.24
2024-06-05 15-13-35,350.69,249.6,101.09,com.yangcong345.android.phone,18581,249.6,101.09,350.69
2024-06-05 15-13-40,557.39,445.2,112.19,com.yangcong345.android.phone,18581,448.35,113.1,561.44
2024-06-05 15-13-45,5502.2,5255.74,246.46,com.yangcong345.android.phone,18581,5255.74,246.46,5502.2
